Function	Count	Inclusive Time (ms)	Inclusive Time %	Exclusive Time (ms)	Exclusive Time %	Avg Time (ms)	Max Time (ms)	Min Time (ms)	URL	Line Number
removeListener	14	1	0.02	0	0	0.07	1	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-foundation-debug.js?t=20120130105614	"4,209"
removeListener	13	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/adapter/ext/ext-base-debug.js?t=20111007011423	"1,351"
ret	13	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/adapter/ext/ext-base-debug.js?t=20111007011423	"1,217"
onMouseOut	6	1	0.02	0	0	0.17	1	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/pkg-buttons-debug.js?t=20111007011423	670
isMenuTriggerOut	2	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/pkg-buttons-debug.js?t=20111007011423	916
isMenuTriggerOut	4	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/pkg-buttons-debug.js?t=20111007011423	636
getTipCfg	56	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/pkg-tips-debug.js?t=20111007011424	777
indexOf	154	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/prototype-lite.js?t=20111007011428	907
delayShow	3	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/pkg-tips-debug.js?t=20111007011424	500
getElapsed	4	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/adapter/ext/ext-base-debug.js?t=20111007011423	885
Math.abs	196	0	0	0	0	0	0	0		0
createDelegate	390	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/adapter/ext/ext-base-debug.js?t=20111007011423	445
clearTimer	58	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/pkg-tips-debug.js?t=20111007011424	617
show	1	26	0.63	0	0	26	26	26	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/pkg-tips-debug.js?t=20111007011424	546
getTargetXY	1	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/pkg-tips-debug.js?t=20111007011424	340
getMouseOffset	1	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/pkg-tips-debug.js?t=20111007011424	404
showAt	1	26	0.63	0	0	26	26	26	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/pkg-tips-debug.js?t=20111007011424	854
setTitle	8	3	0.07	0	0	0.38	1	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/cmp-foundation-debug.js?t=20111007011423	"9,612"
child	233	32	0.77	0	0	0.14	1	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-foundation-debug.js?t=20120130105614	"5,298"
selectNode	234	26	0.63	0	0	0.11	1	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-foundation-debug.js?t=20120130105614	"1,428"
f	7	0	0	0	0	0	0	0		0
showAt	1	26	0.63	0	0	26	26	26	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/pkg-tips-debug.js?t=20111007011424	567
clearTimers	1	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/pkg-tips-debug.js?t=20111007011424	624
showAt	1	26	0.63	0	0	26	26	26	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/pkg-tips-debug.js?t=20111007011424	85
show	71	31	0.75	0	0	0.44	7	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/cmp-foundation-debug.js?t=20111007011423	"1,604"
isBoolean	"1,389"	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/adapter/ext/ext-base-debug.js?t=20111007011423	354
getBody	8	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/adapter/ext/ext-base-debug.js?t=20111007011423	288
onShow	1	7	0.17	0	0	7	7	7	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/pkg-tips-debug.js?t=20111007011424	631
onShow	2	14	0.34	0	0	7	7	7	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/cmp-foundation-debug.js?t=20111007011423	"9,205"
show	26	44	1.06	0	0	1.69	15	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-foundation-debug.js?t=20120130105614	"7,345"
preanim	49	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-foundation-debug.js?t=20120130105614	"7,242"
showAction	4	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/cmp-foundation-debug.js?t=20111007011423	"2,419"
setDisplayed	40	4	0.1	0	0	0.1	1	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-foundation-debug.js?t=20120130105614	"7,310"
isStyle	369	23	0.55	0	0	0.06	1	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-foundation-debug.js?t=20120130105614	"5,726"
sync	44	62.01	1.49	0	0	1.41	10	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/cmp-foundation-debug.js?t=20111007011423	"2,294"
isVisible	53	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/cmp-foundation-debug.js?t=20111007011423	"2,414"
getShim	17	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/cmp-foundation-debug.js?t=20111007011423	"2,240"
Math.max	343	0	0	0	0	0	0	0		0
getLeft	28	1	0.02	0	0	0.04	1	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-foundation-debug.js?t=20120130105614	"6,571"
parseInt	"1,311"	0	0	0	0	0	0	0		0
isVisible	14	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/cmp-foundation-debug.js?t=20111007011423	"2,738"
show	11	25	0.6	0	0	2.27	7	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/cmp-foundation-debug.js?t=20111007011423	"2,714"
pull	11	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/cmp-foundation-debug.js?t=20111007011423	"2,803"
getDoc	29	8	0.19	0	0	0.28	1	0	http://pl-l01899/SaaS/lib/ext-js-31/adapter/ext/ext-base-debug.js?t=20111007011423	532
doAutoWidth	1	12	0.29	0	0	12	12	12	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/pkg-tips-debug.js?t=20111007011424	97
getTextWidth	1	3	0.07	0	0	3	3	3	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-foundation-debug.js?t=20120130105614	"13,987"
value	1	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/adapter/ext/ext-base-debug.js?t=20111007011423	543
measure	38	180.02	4.33	0	0	4.74	12	3	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-foundation-debug.js?t=20120130105614	"13,880"
bind	38	73.01	1.76	0	0	1.92	3	1	http://pl-l01899/SaaS/scripts/ext.frs/frs.31x.js?t=20120223125400	"1,158"
getStyles	38	71.01	1.71	0	0	1.87	3	1	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-foundation-debug.js?t=20120130105614	"6,076"
isIterable	369	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/adapter/ext/ext-base-debug.js?t=20111007011423	231
isPrimitive	488	1	0.02	0	0	0	1	0	http://pl-l01899/SaaS/lib/ext-js-31/adapter/ext/ext-base-debug.js?t=20111007011423	334
setFixedWidth	38	1	0.02	0	0	0.03	1	0	http://pl-l01899/SaaS/scripts/ext.frs/frs.31x.js?t=20120223125400	"1,170"
adjustWidth	256	10	0.24	0	0	0.04	1	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-foundation-debug.js?t=20120130105614	"5,623"
getSize	38	106.01	2.55	0	0	2.79	9	1	http://pl-l01899/SaaS/scripts/ext.frs/frs.31x.js?t=20120223125400	"1,145"
getSize	45	109.01	2.62	0	0	2.42	9	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-foundation-debug.js?t=20120130105614	"6,363"
constrain	2	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/adapter/ext/ext-base-debug.js?t=20111007011423	893
Number	55	0	0	0	0	0	0	0		0
Number.valueOf	2	0	0	0	0	0	0	0		0
Math.min	14	0	0	0	0	0	0	0		0
getFrameWidth	127	14	0.34	0	0	0.11	1	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-foundation-debug.js?t=20120130105614	"6,225"
getBorderWidth	285	22	0.53	0	0	0.08	3	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-foundation-debug.js?t=20120130105614	"5,967"
setWidth	13	29	0.7	0	0	2.23	8	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/cmp-foundation-debug.js?t=20111007011423	"3,122"
isDefined	"1,635"	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/adapter/ext/ext-base-debug.js?t=20111007011423	364
adjustSize	128	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/cmp-foundation-debug.js?t=20111007011423	"3,350"
getResizeEl	128	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/cmp-foundation-debug.js?t=20111007011423	"3,221"
setWidth	16	24	0.58	0	0	1.5	6	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/cmp-foundation-debug.js?t=20111007011423	"2,575"
beforeAction	20	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/cmp-foundation-debug.js?t=20111007011423	"2,499"
hide	31	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/cmp-foundation-debug.js?t=20111007011423	"2,776"
push	11	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/cmp-foundation-debug.js?t=20111007011423	"2,812"
createCB	20	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/cmp-foundation-debug.js?t=20111007011423	"2,540"
isFinite	358	0	0	0	0	0	0	0		0
isBorderBox	188	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-foundation-debug.js?t=20120130105614	"4,266"
isNaN	427	0	0	0	0	0	0	0		0
JScript - window script block	20	22	0.53	0	0	1.1	6	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/cmp-foundation-debug.js?t=20111007011423	"2,542"
constrainXY	20	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/cmp-foundation-debug.js?t=20111007011423	"2,368"
adjustBodyWidth	11	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/cmp-foundation-debug.js?t=20111007011423	"9,525"
setHeight	35	10	0.24	0	0	0.29	3	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-foundation-debug.js?t=20120130105614	"5,952"
onBodyResize	21	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/cmp-foundation-debug.js?t=20111007011423	"9,504"
syncShadow	25	4	0.1	0	0	0.16	2	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/cmp-foundation-debug.js?t=20111007011423	"9,588"
onResize	39	500.05	12.04	0	0	12.82	361.04	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/cmp-foundation-debug.js?t=20111007011423	"4,638"
repaint	6	5	0.12	0	0	0.83	2	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-foundation-debug.js?t=20120130105614	"6,371"
adjustForConstraints	3	3	0.07	0	0	1	3	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-foundation-debug.js?t=20120130105614	"5,071"
JScript - window script block	4	6	0.14	0	0	1.5	3	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-foundation-debug.js?t=20120130105614	"5,079"
getViewWidth	16	323.03	7.78	0	0	20.19	135.01	0	http://pl-l01899/SaaS/lib/ext-js-31/adapter/ext/ext-base-debug.js?t=20111007011423	"1,028"
getViewHeight	16	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/adapter/ext/ext-base-debug.js?t=20111007011423	"1,032"
getViewportHeight	16	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/adapter/ext/ext-base-debug.js?t=20111007011423	"1,044"
setPagePosition	1	4	0.1	0	0	4	4	4	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/pkg-tips-debug.js?t=20111007011424	609
setPagePosition	2	4	0.1	0	0	2	4	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/cmp-foundation-debug.js?t=20111007011423	"3,280"
getPositionEl	137	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/cmp-foundation-debug.js?t=20111007011423	"1,782"
translatePoints	18	2	0.05	0	0	0.11	1	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-foundation-debug.js?t=20120130105614	"6,689"
getXY	64	129.01	3.11	0	0	2.02	98.01	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-foundation-debug.js?t=20120130105614	"6,450"
fly	78	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/adapter/ext/ext-base-debug.js?t=20111007011423	993
Math.round	240	0	0	0	0	0	0	0		0
setPosition	12	4	0.1	0	0	0.33	4	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/cmp-foundation-debug.js?t=20111007011423	"3,245"
adjustPosition	1	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/pkg-tips-debug.js?t=20111007011424	657
setLeftTop	12	4	0.1	0	0	0.33	2	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/cmp-foundation-debug.js?t=20111007011423	"2,520"
storeLeftTop	12	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/cmp-foundation-debug.js?t=20111007011423	"2,481"
onPosition	6	2	0.05	0	0	0.33	2	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/cmp-foundation-debug.js?t=20111007011423	"9,530"
hide	23	110.01	2.65	0	0	4.78	95.01	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-foundation-debug.js?t=20120130105614	"7,335"
onMouseDown	3	1	0.02	0	0	0.33	1	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/pkg-buttons-debug.js?t=20111007011423	704
getClickEl	6	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/pkg-buttons-debug.js?t=20111007011423	699
onMouseUp	3	1	0.02	0	0	0.33	1	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/pkg-buttons-debug.js?t=20111007011423	711
handleMouseUp	4	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-dd-debug.js?t=20111007011423	"1,724"
enable	4	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/pkg-tips-debug.js?t=20111007011424	991
Array.pop	4	0	0	0	0	0	0	0		0
onEnable	4	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/cmp-foundation-debug.js?t=20111007011423	"9,429"
unmask	7	43	1.04	0	0	6.14	28	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-foundation-debug.js?t=20120130105614	"7,452"
onEnable	4	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/cmp-foundation-debug.js?t=20111007011423	"1,584"
getActionEl	159	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/cmp-foundation-debug.js?t=20111007011423	"1,027"
onClick	1	60.01	1.44	0	0	60.01	60.01	60.01	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/pkg-buttons-debug.js?t=20111007011423	887
preventDefault	4	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-foundation-debug.js?t=20120130105614	"3,176"
preventDefault	5	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/adapter/ext/ext-base-debug.js?t=20111007011423	"1,423"
isClickOnArrow	1	2	0.05	0	0	2	2	2	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/pkg-buttons-debug.js?t=20111007011423	876
compile	15	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-foundation-debug.js?t=20120130105614	"1,314"
String.substr	87	0	0	0	0	0	0	0		0
JScript - window script block	14	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-foundation-debug.js?t=20120130105614	"1,364"
eval code	1	0	0	0	0	0	0	0		0
f	1	0	0	0	0	0	0	0		0
getRegion	7	10	0.24	0	0	1.43	3	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-foundation-debug.js?t=20120130105614	"6,834"
getRegion	7	10	0.24	0	0	1.43	3	0	http://pl-l01899/SaaS/lib/ext-js-31/adapter/ext/ext-base-debug.js?t=20111007011423	"1,152"
getRegion	7	10	0.24	0	0	1.43	3	0	http://pl-l01899/SaaS/lib/ext-js-31/adapter/ext/ext-base-debug.js?t=20111007011423	"1,933"
Region	8	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/adapter/ext/ext-base-debug.js?t=20111007011423	"1,867"
getPageX	1	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-foundation-debug.js?t=20120130105614	"3,220"
isVisible	74	44	1.06	0	0	0.6	39	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/cmp-foundation-debug.js?t=20111007011423	"1,669"
showMenu	1	58.01	1.4	0	0	58.01	58.01	58.01	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/pkg-buttons-debug.js?t=20111007011423	579
getQuickTip	1	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/pkg-tips-debug.js?t=20111007011424	"1,021"
cancelShow	1	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/pkg-tips-debug.js?t=20111007011424	765
show	2	134.01	3.23	0	0	67.01	76.01	58.01	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/pkg-menu-debug.js?t=20111007011424	448
onRender	2	5	0.12	0	0	2.5	3	2	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/pkg-menu-debug.js?t=20111007011424	273
Layer	3	5	0.12	0	0	1.67	2	1	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/cmp-foundation-debug.js?t=20111007011423	"2,192"
append	22	9	0.22	0	0	0.41	1	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-foundation-debug.js?t=20120130105614	551
doInsert	28	10	0.24	0	0	0.36	1	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-foundation-debug.js?t=20120130105614	430
setVisibilityMode	38	1	0.02	0	0	0.03	1	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-foundation-debug.js?t=20120130105614	"7,087"
position	19	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-foundation-debug.js?t=20120130105614	"6,612"
Shadow	3	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/cmp-foundation-debug.js?t=20111007011423	"2,640"
Math.floor	8	0	0	0	0	0	0	0		0
hideUnders	10	1	0.02	0	0	0.1	1	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/cmp-foundation-debug.js?t=20111007011423	"2,360"
hideAction	10	2	0.05	0	0	0.2	1	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/cmp-foundation-debug.js?t=20111007011423	"2,431"
constructor	2	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/pkg-menu-debug.js?t=20111007011424	726
KeyNav	10	2	0.05	0	0	0.2	1	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-foundation-debug.js?t=20120130105614	"13,490"
enable	10	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-foundation-debug.js?t=20120130105614	"13,586"
isKeydown	10	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-foundation-debug.js?t=20120130105614	"13,622"
eval code	1	0	0	0	0	0	0	0		0
eval code	1	0	0	0	0	0	0	0		0
f	2	0	0	0	0	0	0	0		0
f	2	0	0	0	0	0	0	0		0
mon	117	14	0.34	0	0	0.12	1	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/cmp-foundation-debug.js?t=20111007011423	"1,830"
createSingle	64	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-foundation-debug.js?t=20120130105614	"2,205"
getContentTarget	182	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/cmp-foundation-debug.js?t=20111007011423	"1,496"
constructor	30	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/cmp-foundation-debug.js?t=20111007011423	"4,860"
setLayout	34	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/cmp-foundation-debug.js?t=20111007011423	"4,267"
setContainer	2	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/pkg-menu-debug.js?t=20111007011424	15
setContainer	34	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/cmp-foundation-debug.js?t=20111007011423	"4,972"
afterRender	94	516.05	12.42	0	0	5.49	361.04	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/cmp-foundation-debug.js?t=20111007011423	"3,299"
emptyFn	476	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/adapter/ext/ext-base-debug.js?t=20111007011423	520
setAutoScroll	94	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/cmp-foundation-debug.js?t=20111007011423	"3,230"
setOverflow	94	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-foundation-debug.js?t=20120130105614	"6,108"
getLayoutTarget	138	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/pkg-menu-debug.js?t=20111007011424	268
layout	52	"1,154.12"	27.78	0	0	22.2	632.06	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/cmp-foundation-debug.js?t=20111007011423	"4,865"
onLayout	4	53.01	1.28	0	0	13.25	36	3	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/pkg-menu-debug.js?t=20111007011424	79
renderAll	29	668.07	16.08	0	0	23.04	622.06	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/cmp-foundation-debug.js?t=20111007011423	"4,886"
renderItem	18	34	0.82	0	0	1.89	3	1	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/pkg-menu-debug.js?t=20111007011424	23
XTemplate	12	4	0.1	0	0	0.33	1	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-foundation-debug.js?t=20120130105614	"12,918"
Template	38	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-foundation-debug.js?t=20120130105614	618
JScript - window script block	44	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-foundation-debug.js?t=20120130105614	626
htmlDecode	2	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-foundation-debug.js?t=20120130105614	"12,367"
JScript - window script block	22	1	0.02	0	0	0.05	1	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-foundation-debug.js?t=20120130105614	"12,977"
fn	31	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-foundation-debug.js?t=20120130105614	"13,019"
eval code	1	0	0	0	0	0	0	0		0
eval code	1	0	0	0	0	0	0	0		0
getItemArgs	18	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/pkg-menu-debug.js?t=20111007011424	62
append	61	25	0.6	0	0	0.41	1	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-foundation-debug.js?t=20120130105614	755
applyTemplate	39	1	0.02	0	0	0.03	1	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-foundation-debug.js?t=20120130105614	"13,075"
compiled	18	0	0	0	0	0	0	0		0
applySubTemplate	38	1	0.02	0	0	0.03	1	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-foundation-debug.js?t=20120130105614	"12,990"
Function code	18	0	0	0	0	0	0	0		0
onRender	18	25	0.6	0	0	1.39	2	1	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/pkg-menu-debug.js?t=20111007011424	"1,275"
eval code	1	0	0	0	0	0	0	0		0
eval code	1	0	0	0	0	0	0	0		0
getTemplateArgs	18	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/pkg-menu-debug.js?t=20111007011424	"1,298"
compiled	18	0	0	0	0	0	0	0		0
Function code	18	0	0	0	0	0	0	0		0
eval code	1	0	0	0	0	0	0	0		0
eval code	1	0	0	0	0	0	0	0		0
onRender	18	9	0.22	0	0	0.5	1	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/pkg-menu-debug.js?t=20111007011424	"1,057"
configureItem	35	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/cmp-foundation-debug.js?t=20111007011423	"4,912"
getEl	20	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/cmp-foundation-debug.js?t=20111007011423	"1,491"
onLayout	4	5	0.12	0	0	1.25	5	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/pkg-menu-debug.js?t=20111007011424	548
doHide	34	125.01	3.01	0	0	3.68	101.01	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/cmp-foundation-debug.js?t=20111007011423	"1,639"
onHide	5	101.01	2.43	0	0	20.2	101.01	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/pkg-menu-debug.js?t=20111007011424	582
onHide	32	26	0.63	0	0	0.81	8	0	http://pl-l01899/SaaS/scripts/ext.frs/frs.31x.js?t=20120223125400	"1,453"
deactivateActive	8	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/pkg-menu-debug.js?t=20111007011424	362
isValidParent	4	1	0.02	0	0	0.25	1	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/pkg-menu-debug.js?t=20111007011424	75
up	4	1	0.02	0	0	0.25	1	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-foundation-debug.js?t=20120130105614	"5,270"
findParentNode	4	1	0.02	0	0	0.25	1	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-foundation-debug.js?t=20120130105614	"5,257"
Flyweight	21	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-foundation-debug.js?t=20120130105614	"4,538"
filter	49	2	0.05	0	0	0.04	1	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-foundation-debug.js?t=20120130105614	"1,489"
eval code	1	0	0	0	0	0	0	0		0
f	4	0	0	0	0	0	0	0		0
byTag	10	0	0	0	0	0	0	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-foundation-debug.js?t=20120130105614	"1,138"
