Function	Count	Inclusive Time (ms)	Inclusive Time %	Exclusive Time (ms)	Exclusive Time %	Avg Time (ms)	Max Time (ms)	Min Time (ms)	URL	Line Number
doAutoSize	6	36	0.87	13	0.31	6	11	2	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/pkg-menu-debug.js?t=20111007011424	84
add	820	35	0.84	13	0.31	0.04	1	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-foundation-debug.js?t=20120130105614	"11,604"
_serializeStringWithBuilder	926	20	0.48	13	0.31	0.02	8	0	http://pl-l01899/SaaS/lib/microsoftajax.js?t=20111007011421	"2,017"
Function.apply	"12,307"	"3,752.38"	90.32	12	0.29	0.31	"1,014.10"	0		0
isObject	"12,481"	17	0.41	12	0.29	0	1	0	http://pl-l01899/SaaS/lib/ext-js-31/adapter/ext/ext-base-debug.js?t=20111007011423	329
eval	77	17	0.41	12	0.29	0.22	9	0		0
fire	"1,310"	"1,605.16"	38.64	12	0.29	1.23	414.04	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-foundation-debug.js?t=20120130105614	"2,327"
onPendingChangesNotify	"2,635"	14	0.34	12	0.29	0.01	1	0	http://pl-l01899/SaaS/scripts/ext.frs/objectviewdetailtab.js?t=20120312043903	"2,062"
getTitleEl	12	30	0.72	11	0.27	2.5	3	1	http://pl-l01899/SaaS/scripts/ext.frs/objectviewdetailtab.js?t=20120312043903	131
String	"6,933"	10	0.24	10	0.24	0	1	0		0
nodup	303	10	0.24	10	0.24	0.03	4	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-foundation-debug.js?t=20120130105614	"1,223"
apply	664	10	0.24	10	0.24	0.02	1	0	http://pl-l01899/SaaS/lib/ext-js-31/adapter/ext/ext-base-debug.js?t=20111007011423	14
onRender	76	19	0.46	10	0.24	0.25	1	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/cmp-foundation-debug.js?t=20111007011423	"1,388"
isControlAlwaysReadOnly	"1,379"	70.01	1.69	10	0.24	0.05	1	0	http://pl-l01899/SaaS/scripts/ext.frs/form/dataobjectform.js?t=20120301114824	684
setEvent	557	156.02	3.76	9	0.22	0.28	8	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-foundation-debug.js?t=20120130105614	"3,123"
verifyEl	3	9	0.22	9	0.22	3	6	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-dd-debug.js?t=20111007011423	"2,068"
createScrollers	1	18	0.43	9	0.22	18	18	18	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/pkg-tabs-debug.js?t=20111007011424	914
Array.concat	921	8	0.19	8	0.19	0.01	1	0		0
getPageCoord	"1,116"	139.01	3.35	8	0.19	0.13	8	0	http://pl-l01899/SaaS/lib/ext-js-31/adapter/ext/ext-base-debug.js?t=20111007011423	"1,306"
getNodes	254	8	0.19	8	0.19	0.03	1	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-foundation-debug.js?t=20120130105614	"1,081"
byClassName	255	10	0.24	8	0.19	0.04	1	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-foundation-debug.js?t=20120130105614	"1,051"
Array.push	"23,641"	7	0.17	7	0.17	0	1	0		0
fly	"2,153"	200.02	4.82	7	0.17	0.09	1	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-foundation-debug.js?t=20120130105614	"4,559"
String.charAt	"7,394"	7	0.17	7	0.17	0	1	0		0
constrainScroll	3	15	0.36	7	0.17	5	8	3	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/pkg-menu-debug.js?t=20111007011424	499
focus	6	7	0.17	7	0.17	1.17	2	0	http://pl-l01899/SaaS/lib/ext-js-31/pkgs/ext-foundation-debug.js?t=20120130105614	"4,049"
